Ticker,Growth Estimate,Earnings Surprise,Beta,EV/Revenue,EV/EBITDA,EPS,P/E ratio,P/S ratio,B/M ratio,D/E ratio,Return on Equity,"Interest Coverage,",Net Profit Margin,Gross Profit Margin,Operating Profit Margin,Operating Cash Flow Ratio,AER,EFIR,Holding Period Return,Current MarketCap,Issue
EGHT,-13.92%,0.377,0.98,-30.83,7.88,-1.634,0,15.964,0.0984,2.6735,-0.2627,5.3126,-0.4124,0.5257,1.3799,-0.2558,-0.0443,-0.2013,0.8816,3748000000,N
MITK,4.99%,0.5857,0.33,22.98,5.98,0.219,73.74,14.1485,0.3471,0.2991,0.008,0,0.0392,0.8626,0.891,0.1371,0.0215,-0.1007,1.3355,689095000,N
AKAM,12.79%,0.0873,0.47,19.59,6.19,3.411,32.55,18.0964,0.2618,0.9155,0.0326,-13.1781,0.1543,0.6662,0.8105,0.3654,0.0403,-0.1523,0.2186,18075000000,N
PING,0,2.8,0,978.81,9.75,-8.178,0,29.4438,0.3536,0.2285,0.0031,-2.1535,0.0324,0.8309,1.0364,-0.0393,-0.0031,1.4909,0.1453,2426000000,N
CTK,0,0.34,0.09,-4.29,0.33,-0.569,0,0,0,0,0,0,0,0,0,0,0,0,-0.4355,177258000,Y
WEX,19.16%,-0.0733,2.12,21.55,6.21,1.021,184.72,20.8914,0.2096,3.2201,0.058,-4.0293,0.254,0.7154,0.7492,1.0407,0.0552,-0.192,-0.0345,8323000000,N
ALRM,42.71%,0.287,1.15,47.32,7.57,1.471,63.17,14.9021,0.1699,0.5369,0.0367,-38.3788,0.0928,0.6258,0.8744,0.1656,0.0417,-0.0187,1.4347,4563000000,N
BLIN,0,0,2.95,-52.18,1.56,-0.59,0,2.7313,0.5021,1.3617,0.035,704,0.048,0.5371,1.3379,0.0388,0.0095,9.5273,0.4286,15029000,N
QLYS,34.63%,0.1143,0.79,42.14,14.58,2.171,63.78,38.4559,0.1188,0.7466,0.0534,-3407.5,0.2441,0.7973,0.7691,0.3975,0.0498,-0.1202,0.4349,5403000000,N
UBER,0,-0.3577,0,-25.13,7.23,-3.977,0,13.5215,0.2579,1.1683,-0.0772,8.8317,-0.2694,0.4021,1.2386,-0.4421,-0.0566,0.0461,0.7872,94288000000,N
CLSK,0,0.2287,3.45,-50.43,62.71,-2.444,0,116.7097,0.1544,0.3626,-0.1089,1.5086,-1.9617,0.0963,4.0624,-0.9064,-0.0369,0.0762,4.5651,632413000,N
EGAN,0,2.5333,0.36,31.46,3.88,0.25,44,13.6463,0.1166,1.7269,0.0683,0,0.1087,0.7112,0.8897,0.2927,0.0675,0.0995,0.4856,340220000,N
WIX,0,-0.386,1.39,-96.69,14.92,-3.289,0,32.9753,0.0308,4.2932,-0.1038,0.6019,-0.1054,0.7202,1.0865,0.2016,0.0375,0.1904,1.1186,13746000000,N
CSOD,70.27%,0.347,1.38,43.78,5.55,-0.513,0,25.2106,0.042,5.096,0.0595,-2.5569,0.0631,0.7449,0.9293,0.4184,0.0648,0.0112,-0.2362,2642000000,N
MNDO,-31.82%,0,0.76,6.36,1.46,0.26,9.42,6.3526,0.5162,0.4175,0.0606,-159.25,0.1988,0.495,0.8187,0.1854,0.0399,-3.8508,0.2176,48746000,N
CTXS,9.85%,0.2787,0.23,21.36,5.49,3.999,33.34,15.6117,-0.0163,-20.7837,-0.8278,-17.5633,0.2105,0.8754,0.7631,0.3302,0.0656,-1.0907,0.1752,16414000000,N
GDDY,-17.05%,0,0.96,32.65,4.98,-2.98,0,14.531,0.0681,7.1491,0.0784,-5.7558,0.0775,0.653,0.9025,0.2078,0.0257,-0.3052,0.2336,13272000000,N
TENB,0,0.803,1.81,-91.94,11.68,-0.794,0,24.8933,0.0409,4.648,-0.3873,12934.5,-0.3947,0.8101,1.2839,-0.0317,-0.0055,-1.1706,1.2275,5103000000,N
CMCM,19.65%,0.472,1.35,0,0,1.535,1.38,0.5014,16.0728,0.409,-0.1665,0,-1.3418,0.7022,1.3731,0,0,0,-0.1298,295331000,N
LAZR,0,0,0,-151.94,628.13,0,0,723.7237,0,0,0,24.0531,-4.4355,0.1761,5.297,-6.0652,0,-0.4127,2.5431,10593000000,N
LSPD,0,0,0,-126.29,42.03,0,0,0,0,0.4453,-0.0819,41.4481,-0.4884,0.637,1.371,-0.3325,-0.0386,-0.0222,0,7632000000,N
UPLD,0,0.3133,0.99,36.08,6.23,-2.567,0,16.1467,0.1995,3.2132,-0.0933,-2.1139,-0.3007,0.681,0.9591,0.1063,0.0078,23.5864,0.2903,1405000000,N
VRSN,15.89%,0.4193,0.82,26.35,18.15,6.932,28,70.6723,-0.0679,-2.2442,-0.0995,-9.2713,0.4776,0.8504,0.3606,0.6234,0.1044,-1.0329,0.1153,22145000000,N
